data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,SB,1.0,,,Wooden Bird Feeder Kits for Kids,https://aax-us-east-retail-direct.amazon.com/x/c/JIGR8bNHzzzVa1wQSRr07lMAAAGduE5l9gEAAAH2AQBvbm9fdHhuX2JpZDUgICBvbm9fdHhuX2ltcDIgICAHjsiF/clv1c_ek-wBIHXFcbWDn2nI4trJ16WpAySuUaH-biNR17ym5k48ntQ33pb8_aQskeVP57QqkvHTASghz79eUBZIwhoTqX0fQlD_nC1yVkUD0v_7--6u1djLaIbEdSeoHlylpphd34LEkdXDnl4L8v0_H7GMpXvi9yNthVrksjg2XMa_AZdXncnNpC82JN8_ExaAky3D6JA7BfDECOgtYW9NgFH_l7vVslqAXbiwBsG3OmrVMl7BVeeIQmWmG3igxSZN25WSgpOI-o_UYDjtbJUiskXgTdqBUa06FOtH2OpLv2tCp_vlbYjYDNLNUmMHgjPVAoaZzDH0iDJJFea1cvW_-CxGMEVTiutsDGCbatn0lkZ7U49ycL5_DaKOKdwyeKl00P9eK8aQxO1bqI_CF3xcFGZkTm3ZEZIMAu32d_uYENTIEluu4_eeNiAQIKyXXgVXXCunNDdmhVPZGRjMUSjCgbQmnCCXLjOg49fXu2ieGdypVB7jVsCANqZ0xwCpUkVv9qmHWg9jIacHr3Z096z0eURyL-HHONomoLs-Ubc-jLU1vzbtYZ574o7fXRCu2Y__l-DpICZ15kshT63WzeRFfHNRP_G6bqmQ917hrDB2wsQ3j1qhFwdrMJHXWe0Fga1y2ZlMaSUyxbKBN9zSkH4JvIeTR9fg9tqwZAdmVMHGccg0FPkDYKFIV3g-CKYAMivzR8qYKabWLyiPh9Nc3z0fTBVfrVlPtkjM43X1bfgeCMLnlHzgmZV7t1UZM0OSrMjxFHg9-PkdqHw6DTT_fN4AV54S8Yo7DC9i6tMxvtoInzL7mS21tfd1G9iS-R3Bhvds9H17735j6lkICWk-fsPnC5P3ay4ITe1QJKuJMqiXesJ7zETcBWJUpHLeP1WRQBYF8TQ4qpnh4egPCipwIPjJ-bCutb2FJWeQVE8St0yDtltTZXuyf9KCwk9A6M1Ji3ldVlV5QK9UYfpCh5bnZMqsPIgcUCHI2k1E0Tk0ScEsh4SWkQQQwe70UP156mpBnr_BS7oQmpiS4imG7dO-62DGgf8pmYjfUg0jiIX0ASWHhZGMZCjkM_C9NTqwITUoXYfFSFfgbwZFStpEgIqLf1xOJp3K3EqtKwUW44lyrHjAJvv0J_3Qj0krgWA3Qv9HycOMtzGakRKHSz_1p6rcvnWhZBqQocNaS99HsBTc0b3mX4Zvi3zm20pPjwGt-_CRcvKdP9eBFlzARxqFVDdWoRulHAPTgXAbvMxxqXqcV_8QLgt8RlptnliuAMBg-i_bNt2gxmdZuBKdamXG1yukVRlmmDA5tzypVlfRCRfSnOuMhcKAB5i_pay53CiXzLerlhEvb29v0PPbg1TUs9hweRg8L0dIA-6JucZl9ILiTvCqWoznecDHNfXDtMkqFfIvd8L-bjRTOAPo40dumvZBATCEwj-JkPgM0ylMijwRJMX8v3N2UtPQIxfGyeVIuR8Jy26ZsG88L2wsh8jk61gtyRUGCMWDvUWgbOEPVWSwHbDrPqqgff5pV4WCM4uyEZ1T3lr9A9OSC8nDZPmkFebMUrePv1HnSi8YOiu3HXPX1iMIF-cEz9DY5v1MvY-FHn0BeqE_rHmSa0ErgW1kykGAzAcw9eBiIKhPatrrrUgQT_QTVty-423FFl84IDsVxDNaM25pMDqRHxUn9DeoNgpwgFL2DPhOlbO5foSlRw1bb0/https://www.amazon.com/stores/page/12403E15-F5B6-4486-9B9F-B81B2232EB08/?_encoding=UTF8&store_ref=SB_A02130111YN2OIZASYIQK-A03487732Z9J0QK61U67B&pd_rd_plhdr=t&aaxitk=914aba48571d3a00c39a79510c2e8480&hsa_cr_id=0&lp_asins=B0GKFKJZ2Q%2CB0GKG6P1J8%2CB0GKFXBL15&lp_query=summer%20crafts&lp_slot=auto-sparkle-hsa-tetris&ref_=sbx_s_sparkle_sbtcd_bkgd&pd_rd_w=J3Rzz&content-id=amzn1.sym.2fb72bc8-96ef-420d-b08f-c04b69f36507%3Aamzn1.sym.2fb72bc8-96ef-420d-b08f-c04b69f36507&pf_rd_p=2fb72bc8-96ef-420d-b08f-c04b69f36507&pf_rd_r=1H4793DMGT4S9TRXMHFM&pd_rd_wg=0RlIF&pd_rd_r=44cd064d-8e42-41a0-92cc-6bd74d342cd4,,,,,False,"https://m.media-amazon.com/images/S/al-na-9d5791cf-3faf/196e3502-d51a-4229-bb93-9ec3bd9dc3aa._CR0,0,315,145_AC_SX130_SY60_CB1169409_QL70_.jpg",,Wooden Bird Feeder Kits for Kids,2026-04-23T11:07:25.338910,3.0
1,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-23T11:07:25.339704,
3,1,Organic,,1.0,B0DJ8TQT79,"JOYIN 36 Pcs 9""x6"" Summer Make a face Stickers for Kids, Make Your Own Hawaii Pool Beach Sticker Sheets, Luau Craft Party Decor, Summer Holiday Party Favors Kids Crafts, Goodie Bags Stuffers",N/A,$5.39,,4.8,7645.0,False,https://m.media-amazon.com/images/I/91d4reOTOrL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91d4reOTOrL._AC_SL1500_.jpg,,2026-04-23T11:07:25.345049,
4,1,Organic,,2.0,B0DY4R1CMC,"30Sets Summer Felt Visor Hats Crafts Kits for Kids Bulk, DIY Beach Sun Visor Hat Activities with Stickers for Hawaiian/Luau/Under-The-Sea Party Supplies",N/A,$20.99,,4.7,17.0,False,https://m.media-amazon.com/images/I/9153AfDU3vL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/9153AfDU3vL._AC_SL1500_.jpg,,2026-04-23T11:07:25.349040,
5,1,Organic,,3.0,B0GGBQTXK5,Berlune 10 Sets End of Year Student Gifts DIY Painting White Bucket Hats for Kids with 12-Color Markers and Cute Summer Cards Sublimation Bucket Hat Birthday Party Graduation School Craft Activity,N/A,$34.99,,5.0,1.0,False,https://m.media-amazon.com/images/I/719xL09AJgL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/719xL09AJgL._AC_SL1500_.jpg,,2026-04-23T11:07:25.353408,
7,1,Title,,,,"Debug info copied.SponsoredJellyArch 30 Pack Summer Ice Cream Wind Chime Kit for Adults, Summer Craf",,,,,,False,,,,2026-04-23T11:07:25.354269,
8,1,Title,,,,ZMLM Water Coloring Books for KidsSponsored|Top 10 best-selling brand in craft kits|Shop ZMLMShop no,,,,,,False,,,,2026-04-23T11:07:25.355448,
9,1,Title,,,,More results,,,,,,False,,,,2026-04-23T11:07:25.355581,
10,1,Organic,,4.0,B0F5LRSPTY,"80PCS Wooden Summer Ornaments to Paint, 10 Styles DIY Blank Unfinished Wood Beach Cutouts Ornament for Crafts Hanging Decorations, Watermelon Surfboard Slippers Coconut Tree Home Decorations Gifts",N/A,$13.99,,4.7,485.0,False,https://m.media-amazon.com/images/I/81hcAs1yxZL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81hcAs1yxZL._AC_SL1500_.jpg,,2026-04-23T11:07:25.358614,
11,1,Organic,,5.0,B094P1WXYF,"4E's Novelty 24 Pack DIY Pinwheels Craft for Kids, Bulk Summer Pinwheel Craft Kit, Color Your Own Paper Windmill for Pinwheels for Kids Bulk Spring Craft for Kids Easter Art Games",N/A,$18.99,,4.4,228.0,False,https://m.media-amazon.com/images/I/81qP1zjZ-ML._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81qP1zjZ-ML._AC_SL1500_.jpg,,2026-04-23T11:07:25.362533,
12,1,Organic,,6.0,B0DZBPJKMD,"RattanView 24 Pcs Summer Party Craft Color Your Own Keychains Diy Craft Wooden Blank Keychains for Sunday School Classroom Home Active Party Favors Gifts, 12 Styles",N/A,$14.99,,4.6,111.0,False,https://m.media-amazon.com/images/I/719MCU2i+LL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/719MCU2i+LL._AC_SL1500_.jpg,,2026-04-23T11:07:25.366477,
13,1,Organic,,7.0,B0C7S26G2L,"Dan&Darci Kids Sea Shell Painting Kit - Arts & Crafts for Kids - Gifts for Boys and Girls Ages 6-8, 8-12 - Craft Activities Kits - Creative Art Activity Gift Toys for Age 6 7 8 9 10 11 12 Year Old",N/A,$9.98,,4.6,1675.0,False,https://m.media-amazon.com/images/I/81UQKatVU8L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81UQKatVU8L._AC_SL1500_.jpg,,2026-04-23T11:07:25.370257,
14,1,Organic,,8.0,B0CVWZCWGW,OHOME Summer Giant Coloring Poster/Tablecloth - Summer Decorations - 30 x 72 Inches Jumbo Paper Coloring Banner - Kids Crafts Gifts Toys Games Ice Cream Party Decorations - Arts Crafts Supplies,N/A,$7.16,,4.8,1557.0,False,https://m.media-amazon.com/images/I/91DIFfRUjlL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91DIFfRUjlL._AC_SL1500_.jpg,,2026-04-23T11:07:25.375010,
15,1,Organic,,9.0,B0D3WWHSDZ,Kajaia 24pc Summer Pool DIY Bags Bulk Color Your Own Tote Bag Reusable Non Woven Goodie Bag with Handle for Summer Pool Beach Crafts Painting Party Favor Supplies,N/A,$23.99,,4.6,7.0,False,https://m.media-amazon.com/images/I/81Q-Z0OR6vL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81Q-Z0OR6vL._AC_SL1500_.jpg,,2026-04-23T11:07:25.379580,
16,1,Organic,,10.0,B0DXVHSV9X,Trnayi 36 Pcs Summer Unfinished Wooden Keychains Color Your Own Beach Fruit Keychains Tropical Hawaiian Luau Blank Wood Painting DIY Crafts for Summer Party Activities Arts Project Decor,N/A,$16.99,,4.7,91.0,False,https://m.media-amazon.com/images/I/81hLs3bt+xL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81hLs3bt+xL._AC_SL1500_.jpg,,2026-04-23T11:07:25.384867,
17,1,Organic,,11.0,B0DQ158VV3,Winlyn 24 Sets Potted Flower Craft Kits DIY Potted Flower Ornaments Decorations Tulip Sunflower Foam Stickers Arts and Crafts for Kids Classroom Activities Birthday Spring Summer Camping Party Favors,N/A,$23.99,,4.8,40.0,False,https://m.media-amazon.com/images/I/81hRwGbvb-L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81hRwGbvb-L._AC_SL1500_.jpg,,2026-04-23T11:07:25.390815,
18,1,Organic,,12.0,B08HD89CX6,"Rock Painting Kit- Glow in The Dark Rock Kit, Arts and Crafts for Kids Ages 6-12, Art Supplies Toy , Kids Craft Paint Kits, Arts & Crafts for Boys Girls Birthday Party Gift Toy",N/A,$13.98,,4.7,11018.0,False,https://m.media-amazon.com/images/I/811-oY6xryL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/811-oY6xryL._AC_SL1500_.jpg,,2026-04-23T11:07:25.396478,
19,1,Organic,,13.0,B00HUBBDIK,"Made By Me Create Your Own Window Art, Paint Your Own Suncatchers, DIY Arts & Crafts Idea, Craft Kits for Kids, Crafts for Kids & Toddlers, Toddler Arts and Crafts",N/A,$10.97,,4.7,30797.0,False,https://m.media-amazon.com/images/I/91MeCsPGRGL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91MeCsPGRGL._AC_SL1500_.jpg,,2026-04-23T11:07:25.400447,
20,1,Organic,,14.0,B0D1VHPV4M,"Summer Craft Kits for Kids Make A Ocean Animals Worlds Stickers Scene, Summer Craft Under The Sea Scene Sticker Shark Tropical Fish Sea Animal Bulk Set for Home Classroom Game Activities (24Set)",N/A,$9.99,,4.6,101.0,False,https://m.media-amazon.com/images/I/81ANssB4OsL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81ANssB4OsL._AC_SL1500_.jpg,,2026-04-23T11:07:25.403715,
21,1,Organic,,15.0,B089WKB15C,"JOYEZA Rock Painting Kit Deluxe, Arts and Crafts for Girls Boys Age 6+, 12 Rocks Tween Gift Art Set, Waterproof Paints, Craft Kits Art Supplies, Kids Crafts Ages 6-8, Kids Activities 6 7 8 9 10",N/A,$7.99,,4.6,4029.0,False,https://m.media-amazon.com/images/I/81RDcxjWdDL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81RDcxjWdDL._AC_SL1500_.jpg,,2026-04-23T11:07:25.408113,
22,1,Organic,,16.0,B09FG88MKW,"Made By Me Create Your Own Underwater Sand Art, Includes 6 Ocean-Themed Bottles, 8 Sand Colors, Glitter, & Funnel, Great Staycation or Group Activity, Party Idea, DIY Sand Art For Kids Ages 6, 7, 8, 9",N/A,$13.12,,4.6,7579.0,False,https://m.media-amazon.com/images/I/817lYTohcHL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/817lYTohcHL._AC_SL1500_.jpg,,2026-04-23T11:07:25.411991,
23,1,Organic,,17.0,B0F1MT6XD2,"COCHIE 10 Pieces Large Summer Unfinished Wood Crafts to Paint for Adults, Bulk Predrilled Wooden Ornaments for Painting, Beach Pattern Paintable Wood Slices Craft Supplies with Ropes",N/A,$9.99,,4.7,250.0,False,https://m.media-amazon.com/images/I/81EG4XG1mkL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81EG4XG1mkL._AC_SL1500_.jpg,,2026-04-23T11:07:25.416865,
24,1,Organic,,18.0,B07HSJNSJR,"Creative Roots Mosaic Turtle DIY Stepping Stone Kit, Includes Ceramic Stone & 6 Vibrant Paints for Kids Ages 8+",N/A,$8.99,,4.6,23369.0,False,https://m.media-amazon.com/images/I/811sbLqC7uL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/811sbLqC7uL._AC_SL1500_.jpg,,2026-04-23T11:07:25.421101,
25,1,Organic,,19.0,B0DPWSLZ94,"Hedeey 12 Packs Summer Insect Craft Kits, Make Your Own Bug Paper Craft Set, Spring DIY Art Craft Kits for School Home Game Activities (Bug 12)",N/A,$9.49,,4.6,35.0,False,https://m.media-amazon.com/images/I/81svHFAJVWL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81svHFAJVWL._AC_SL1500_.jpg,,2026-04-23T11:07:25.424125,
26,1,Organic,,20.0,B0DXF11NX4,Lonfliness 30 Sets Dessert Arts Crafts Coloring Magnets Kits for Fridge Color Your Own Ice Cream Donut Cupcake DIY Magnetic Sweet Treat Crafts for Party Decorations Classroom Home Activities Games,N/A,$9.99,,4.3,52.0,False,https://m.media-amazon.com/images/I/81No9BgHxSL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81No9BgHxSL._AC_SL1500_.jpg,,2026-04-23T11:07:25.427382,
27,1,Organic,,21.0,B09TZW9643,chiazllta 30 Pack Summer Crafts Kit for Kids End of School Year Picture Frames Beach DIY Art Crafts Classroom Summer Activities Game Party Favor,N/A,$9.99,,4.4,507.0,False,https://m.media-amazon.com/images/I/812knrxRe2L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/812knrxRe2L._AC_SL1500_.jpg,,2026-04-23T11:07:25.430766,
28,1,Organic,,22.0,B0DXBV53QQ,"Aowplc 48 Sheets Summer Fun Make-a-Face Sticker Set for Kids – Create Your Own Faces with Beach, Tropical & Animal Stickers – Ideal Summer Crafts, Party Favors & Creative Activities",N/A,$8.99,,4.8,778.0,False,https://m.media-amazon.com/images/I/81+g15+zXRL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81+g15+zXRL._AC_SL1500_.jpg,,2026-04-23T11:07:25.434137,
29,1,Organic,,23.0,B00000ISC5,"Insect Lore Raise and Release Butterfly Garden Kit – Caterpillar Habitat with redeemable Voucher – STEM-accredited Butterfly Growing Kit for Kids, Classrooms, and Homeschool Learning",N/A,$24.91,,4.5,23391.0,False,https://m.media-amazon.com/images/I/91uaCZCdelL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91uaCZCdelL._AC_SL1500_.jpg,,2026-04-23T11:07:25.438550,
30,1,Organic,,24.0,B0GSD21JXT,32Pcs Summer Craft Coloring Glasses Bulk - Hawaiian Luau Art Craft Kit- Beach Pool Theme DIY Paper Party Glasses Decor for Teacher Students Classroom Activities Camp Project Party Favors - 8 Designs,N/A,$11.89,,5.0,14.0,False,https://m.media-amazon.com/images/I/818TXFVnqeL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/818TXFVnqeL._AC_SL1500_.jpg,,2026-04-23T11:07:25.442743,
31,1,Organic,,25.0,B0F2FM13DS,ShinyRelief 24 Sets Kites Craft DIY Kites Tissue Paper Craft Kits Summer Party Supplies DIY Hanging Ornaments Make Your Own Summer Beach Party Decoration for Outdoor Grassland Activities,N/A,$14.99,,3.7,4.0,False,https://m.media-amazon.com/images/I/81fVr5QYMyL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81fVr5QYMyL._AC_SL1500_.jpg,,2026-04-23T11:07:25.446230,
32,1,Organic,,26.0,B0DQTWD595,32 Sets Summer Hawaii Crafts Kits DIY Felt Wreath Making Kits Tropical Beach Crafts with Flamingo Palm Pineapple Watermelon Surfboard Stickers for Party Decorations Home,N/A,$15.99,,4.8,25.0,False,https://m.media-amazon.com/images/I/81PG7a00OoL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81PG7a00OoL._AC_SL1500_.jpg,,2026-04-23T11:07:25.449478,
33,1,Organic,,27.0,B0FCMP7Z3C,AmazingSpark 30 Pcs Tropical Palm Tree Craft Set Summer Beach Hawaiian Coconut Tree Suncatchers DIY Stained Glass Effect Tissue Paper Kits Gift Bulk for Luau Activities Art Party Decor,N/A,$16.99,,4.2,3.0,False,https://m.media-amazon.com/images/I/81IYtksLv+L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81IYtksLv+L._AC_SL1500_.jpg,,2026-04-23T11:07:25.453116,
34,1,Organic,,28.0,B0CY2N98PS,Dunzoom 30 Set Summer Window Art Suncatchers Kits Summer Beach Fruit DIY Suncatchers Craft Kits Make Your Own Paint Ornaments for Boys Girls Craft Painting Art Activity,N/A,$25.99,,4.5,117.0,False,https://m.media-amazon.com/images/I/81QOTJWskFL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81QOTJWskFL._AC_SL1500_.jpg,,2026-04-23T11:07:25.456911,
35,1,Organic,,29.0,B0B397YTNX,CRAFTY HAPPITOYS Birdhouse Kit - 15 Unfinished Wood Bird Houses for Children to Paint - Wood Craft Project Kits for Kids - Wooden Arts & Craft for Girls & Boys,N/A,$35.99,,4.3,571.0,False,https://m.media-amazon.com/images/I/71wu+guI66L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71wu+guI66L._AC_SL1500_.jpg,,2026-04-23T11:07:25.460702,
36,1,Organic,,30.0,B0CM3FSZYD,Winlyn 24 Sets Lotus Flower Suncatcher Wind Chimes Decorations DIY Window Paint Art Stickers Craft Kits Flower Sun Catchers for Kids Classroom Birthday Spring Summer Party Activities Art Project,N/A,$21.99,,4.5,56.0,False,https://m.media-amazon.com/images/I/812T9SySkzL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/812T9SySkzL._AC_SL1500_.jpg,,2026-04-23T11:07:25.464562,
37,1,Organic,,31.0,B0D9M3TWZJ,"EPUMP Sea Shell Painting Kit for Kids - Glow in the Dark Beach Toys and Summer Crafts, Arts and Crafts Kit Creative DIY Indoor Outdoor Activity Toy Birthday Gift for Boys Girls Age 6 7 8 9 10 11 12+",N/A,$9.99,,4.6,721.0,False,https://m.media-amazon.com/images/I/81UDAPHzMnL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81UDAPHzMnL._AC_SL1500_.jpg,,2026-04-23T11:07:25.468521,
38,1,Organic,,32.0,B09KLWR9WB,Haooryx Color Your Own Summer Bookmarks - 72Pcs Bulk Kids DIY Coloring Blank Bookmarks Summer Theme Book Marks for Teacher Student Classroom Rewards Supplies Paper Art Craft Kit Party Gift Bag Fillers,N/A,$9.99,,4.4,132.0,False,https://m.media-amazon.com/images/I/81HGeOMVdsL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81HGeOMVdsL._AC_SL1500_.jpg,,2026-04-23T11:07:25.474218,
39,1,Organic,,33.0,B0C6M4QR7S,Winlyn 36 Sets Summer Crafts Kits DIY Whimsical Bookmarks Decorations Art Sets Fruits Treats Animals Sun Rainbow Foam Stickers for Kids Classroom Activities Reading Rewards Birthday Camp Party Favors,N/A,$19.99,,4.7,102.0,False,https://m.media-amazon.com/images/I/81+C+duAtxL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81+C+duAtxL._AC_SL1500_.jpg,,2026-04-23T11:07:25.478227,
40,1,Organic,,34.0,B0CRHCJDPH,"Kiditos Magic Water Elf Toy Kit – Squishies for Kids, 20 Gels & 10 Molds, Magic Gel Water Pets Sensory DIY Craft Kit, Party Favors & Gifts for Kids Ages 3+",N/A,$26.59,,4.6,2118.0,False,https://m.media-amazon.com/images/I/81jFjCT45dL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81jFjCT45dL._AC_SL1500_.jpg,,2026-04-23T11:07:25.483534,
41,1,Organic,,35.0,B07NZ2ZNVM,"Rolife DIY Miniature Greenhouse Kit, Tiny/Mini House Making Kit with Furniture for Adults, Furniture, Halloween/Christmas Decorations, Gifts for Family and Friends (Cathy's Greenhouse)",N/A,$41.99,,4.7,2600.0,False,https://m.media-amazon.com/images/I/91BD5FRCW3L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91BD5FRCW3L._AC_SL1500_.jpg,,2026-04-23T11:07:25.489026,
42,1,Organic,,36.0,B0CNTRYHKK,"Air Dry Clay 66 Colors, Modeling Clay for Kids, DIY Model Magic Clay, Molding Clay Kit with Sculpting Tools, Non-Sticky Soft and Super Light, Arts and Crafts Gift for Boys Girls Kids",N/A,$19.99,,4.6,2072.0,False,https://m.media-amazon.com/images/I/81v5p4XiazL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81v5p4XiazL._AC_SL1500_.jpg,,2026-04-23T11:07:25.495039,
43,1,Organic,,37.0,B09MF1CZ4Y,"SunGemmers Window Gem Art Suncatcher Kits - Summer Crafts for Kids, Fun 5 Year Old Girl Birthday Gift, Fun Gifts for 8 Year Old Girls, Crafts for Kids Ages 4-10, Diamond Art Kit for Boys & Girls 6-12",N/A,$5.99,,4.6,7282.0,False,https://m.media-amazon.com/images/I/91W4OW8CkOL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91W4OW8CkOL._AC_SL1500_.jpg,,2026-04-23T11:07:25.498814,
44,1,Organic,,38.0,B0DK94D31M,Blosssound 48 Pcs Spring Crafts Set 36 Pcs 3D Wooden Flower Cutouts Unfinished Tulip Slices Wood Daisy to Paint with 12 Colored Pens for Mother's Day Summer Easter Floral Handmade Crafts DIY Projects,N/A,$21.99,,4.1,75.0,False,https://m.media-amazon.com/images/I/713o+tSEQ4L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/713o+tSEQ4L._AC_SL1500_.jpg,,2026-04-23T11:07:25.502426,
45,1,Organic,,39.0,B0CQYTVX68,"Poen 48 Pcs DIY Pinwheels Paper Craft Bulk Color Your Own White Pinwheels Summer Activity Arts July 4 Patriotic Memorial Day Craft Blank Windmills Party Favor Supplies, 5 Inches",N/A,$19.99,,4.4,113.0,False,https://m.media-amazon.com/images/I/71c+l4kzaIL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71c+l4kzaIL._AC_SL1500_.jpg,,2026-04-23T11:07:25.506154,
46,1,Organic,,40.0,B0CKWF33Y7,"ArtCreativity DIY Wind Chime Kit for Kids - 8 Pack - Wooden Wind Chime Set with Paint Kit, Rhinestone Flower Stickers, Glitter Heart Foam Stickers, and More - Summer Arts and Crafts for Kids 3 and Up",N/A,$17.77,,4.5,51.0,False,https://m.media-amazon.com/images/I/8197WgYFv1L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/8197WgYFv1L._AC_SL1500_.jpg,,2026-04-23T11:07:25.511480,
47,1,Organic,,41.0,B0CVWY4TWD,"Worgree DIY Wooden Magnets, 36 pcs Wooden Art Craft Supplies Painting Kit for Kids Party Favors for Boys Girls Ages 4-8 8-12 Birthday Easter Crafts Gifts Toys Basket Goodie Bag Stuffers",N/A,$9.99,,4.6,1410.0,False,https://m.media-amazon.com/images/I/71+CIVYutLL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71+CIVYutLL._AC_SL1500_.jpg,,2026-04-23T11:07:25.514644,
48,1,Organic,,42.0,B0GQSLTYTF,"COCHIE Summer Slippers Wood Crafts to Paint Set of 24, Slipper Unfinished Wooden Craft for Painting, DIY Paintable Beach Slippers Cutouts Slices for Craft with Ropes (Summer)",N/A,$9.99,,4.6,12.0,False,https://m.media-amazon.com/images/I/816w2ByB1rL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/816w2ByB1rL._AC_SL1500_.jpg,,2026-04-23T11:07:25.518110,
49,1,Organic,,43.0,B09X1YX59W,"Hula Home Stained Glass Mandala Art Kit - DIY Window Clings with Markers, 10 Suncatchers - Perfect Hobby for Adults, Kids, Teens & Seniors - Ideal Gift for Beginners, Women & Elderly",N/A,$13.49,,4.5,2458.0,False,https://m.media-amazon.com/images/I/71KgD2FR17L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71KgD2FR17L._AC_SL1500_.jpg,,2026-04-23T11:07:25.522563,
50,1,Organic,,44.0,B000J3ZVMK,"4M Make A Wind Chime Kit - Arts & Crafts Construct & Paint A Wind Powered Musical Chime DIY Gift for Kids, Boys & Girls",N/A,$10.99,,4.5,9442.0,False,https://m.media-amazon.com/images/I/61-FGO3h6VL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/61-FGO3h6VL._AC_SL1500_.jpg,,2026-04-23T11:07:25.526486,
51,1,Organic,,45.0,B0DTTM56VX,Gemscream 30 Sets Summer Surfboard Crafts for Kids Color Your Own Tropical Magnet DIY Coloring Magnet Surfboard with Watercolor Pen for Summer Gift Art Ornaments Classroom Party Decor,N/A,$11.99,,4.4,121.0,False,https://m.media-amazon.com/images/I/71vWyrnhW9L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71vWyrnhW9L._AC_SL1500_.jpg,,2026-04-23T11:07:25.530123,
52,1,Organic,,46.0,B0GJLS6WMK,PAIVSUN 24Pcs Spring Crafts Kits Make You Own Umbrella Paper Ornament DIY Arts and Crafts for Spring Summer April Activity Party Decoration Supplies,N/A,$8.99,,4.3,36.0,False,https://m.media-amazon.com/images/I/817Nv4QvrsL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/817Nv4QvrsL._AC_SL1500_.jpg,,2026-04-23T11:07:25.534472,
53,1,Organic,,47.0,B0F13R524V,"JellyArch 30 Pack Summer Wind Chime Making Kit for Kids, Summer Watermelon Coconut Beach Gnome DIY Wind Chime Wooden Crafts Kit Ornaments for Girls and Boys Activity Birthday Outdoor Decoration",N/A,$16.99,,4.2,102.0,False,https://m.media-amazon.com/images/I/81iViMFfwxL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81iViMFfwxL._AC_SL1500_.jpg,,2026-04-23T11:07:25.537895,
54,1,Organic,,48.0,B0DTHLDPKP,"Feifeiya 24 Sets Foam Visors for Kids, Color Your Own Foam Sun Visors with Pens DIY Coil Visor Summer DIY Class Crafts(Beach)",N/A,$23.99,,4.5,15.0,False,https://m.media-amazon.com/images/I/81sGNe0o2GL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81sGNe0o2GL._AC_SL1500_.jpg,,2026-04-23T11:07:25.541333,
56,1,Title,,,,"Debug info copied.SponsoredLibima DIY Kite Kit Bulk for Kids Classroom Activities, Blank Kites with ",,,,,,False,,,,2026-04-23T11:07:25.542243,
57,1,Title,,,,Related searchesfall craftscraftssummer crafts for kidsback to school craftsummer crafts for adultss,,,,,,False,,,,2026-04-23T11:07:25.543097,
